Index Name,Date,Close,P/E,P/B,cagr_curve,cagr_dev,fwd_1m,fwd_3m,fwd_6m,fwd_1y,fwd_2y,fwd_3y,fwd_4y,fwd_5y,Year
NIFTY MIDCAP 50,2011-04-28,2571.75,17.21,2.12,4249.624475031523,-39.48288807375331,-3.886458637114798,-5.099640322737442,-16.447944006999126,-15.137552250413144,-18.524351122776327,1.4309322445805517,26.23894235442792,29.083309030815595,2011
NIFTY MIDCAP 50,2011-04-29,2545.05,17.1,2.1,4251.098080810184,-40.13193881626559,-2.8781359894697545,-5.320131235142734,-15.139191764405425,-13.296398891966765,-17.669593917604775,1.345749592345924,27.87568024203846,30.374648828117312,2011
NIFTY MIDCAP 50,2011-05-02,2513.85,16.81,2.07,4255.521964792711,-40.9273405049279,-0.6026612566382261,-6.1240726375877514,-15.257473596276617,-12.375440062056208,-15.539908904668142,1.024325238180479,33.671460110985166,32.907691389701064,2011
NIFTY MIDCAP 50,2011-05-03,2459.75,16.42,2.03,4256.997615593243,-42.21866624989367,0.815123488159375,-4.199613781888411,-13.155808517125722,-11.769488769183855,-13.909950198190879,3.1995121455432374,36.6114442524647,34.26364467933733,2011
NIFTY MIDCAP 50,2011-05-04,2445.25,16.32,2.02,4258.473778092528,-42.579193217545516,1.1880175851139985,-4.719353849299668,-11.620488702586652,-13.15202944484204,-12.121459973417858,3.811471219711682,37.42153154074226,33.31356711992639,2011
NIFTY MIDCAP 50,2011-05-05,2423.4,16.18,2.0,4259.950452468004,-43.112014399228464,2.1003548733184774,-5.721300651976568,-10.666831724024096,-11.368325493108856,-11.329124370718835,4.747462243129474,38.62754807295534,34.51968308987372,2011
NIFTY MIDCAP 50,2011-05-06,2459.05,16.35,2.03,4261.427638897171,-42.29516001739769,0.6201581911713827,-8.519550232813488,-11.961936520200888,-12.653260405441124,-12.614627600089479,3.285821760435925,30.78017933754904,33.73863890526827,2011
NIFTY MIDCAP 50,2011-05-09,2454.75,16.43,2.02,4265.862272282722,-42.45594809870809,1.4461757816478293,-9.601792443222312,-13.229453101130462,-15.942560342193701,-12.974844688868526,5.200122212037894,33.704043181586705,35.79997963132702,2011
NIFTY MIDCAP 50,2011-05-10,2455.35,16.43,2.02,4267.341508702868,-42.46183496229376,0.8450933675443473,-7.22707556967438,-14.619097073736931,-16.068992200704567,-12.825055491070525,6.577473679923429,33.67137068035107,35.3167572851121,2011
NIFTY MIDCAP 50,2011-05-11,2483.65,16.55,2.05,4268.8212580651225,-41.81883358766503,0.1348821291244695,-8.81565437964288,-15.591971493567936,-18.140639784188593,-13.554647393956476,5.363074507277599,32.14824955207054,33.450768022869546,2011
